2018-09-04 02:56:11 - ÍøÖ·²É¼¯¿ªÊ¼
2018-09-04 02:56:11: [*] ³ÌĞòÔËĞĞ : µ±Ç°ÓÃ»§ : Langzi
2018-09-04 02:56:11: [*] ³ÌĞòÔËĞĞ : ÓÑÁ´²É¼¯Ïî : ¿ªÆô
2018-09-04 02:56:11: [*] ³ÌĞòÔËĞĞ : ÎŞÏŞ²É¼¯Ïî : ¿ªÆô
2018-09-04 02:56:20: [*] ³ÌĞòÔËĞĞ : ÅúÁ¿µ¼ÈëÍøÖ·ÊäÈë 0 (½«²É¼¯ºÃµÄÍøÖ·ÎÄ±¾ÍÏ×§½øÀ´)   ×Ô¶¯²É¼¯¹Ø¼ü´ÊÊäÈë 1 (°Ù¶È½Ó¿Ú¹Ø¼ü´Ê²É¼¯)
2018-09-04 02:56:20: [*] ³ÌĞòÔËĞĞ : ÇëÑ¡ÔñÆô¶¯·½Ê½(Ñ¡Ïî:0/1):0
2018-09-04 02:57:40: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='jw.jiangnan.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000000D414AC8>, 'Connection to jw.jiangnan.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:40: [+] ÓÑÁ´ÅÀĞĞ : http://bbs.seu.edu.cn
2018-09-04 02:57:40: [+] ÓÑÁ´ÅÀĞĞ : http://sme.jiangnan.edu.cn
2018-09-04 02:57:40: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='lib.fmmu.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000000D3E87B8>, 'Connection to lib.fmmu.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:41: [-] ÍøÖ·ÅÅ³ı : http://m3l154.xtgem.com : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:41: [+] ÓÑÁ´ÅÀĞĞ : http://sourcenext.co.jp.w3snoop.com
2018-09-04 02:57:41: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='wm.sta.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000000EEA1710>, 'Connection to wm.sta.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:41: [+] ÓÑÁ´ÅÀĞĞ : http://cits.sta.edu.cn
2018-09-04 02:57:41: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='kqzjk.fmmu.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000000010923630>, 'Connection to kqzjk.fmmu.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:41: [+] ÓÑÁ´ÅÀĞĞ : http://kqyfk.fmmu.edu.cn
2018-09-04 02:57:41: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='unit.xjtu.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000000EFF3780>, 'Connection to unit.xjtu.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:41: [+] ÓÑÁ´ÅÀĞĞ : http://cy.xjtu.edu.cn
2018-09-04 02:57:42: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='jcbjpkc.jit.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000000CCEB668>, 'Connection to jcbjpkc.jit.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:42: [+] ÓÑÁ´ÅÀĞĞ : http://www.jit.edu.cn
2018-09-04 02:57:42: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='zypg.jiangnan.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000000003A97D68>, 'Connection to zypg.jiangnan.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:42: [+] ÓÑÁ´ÅÀĞĞ : http://yiyuan.jiangnan.edu.cn
2018-09-04 02:57:42: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='kyxt.nuaa.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000000D58AD30>, 'Connection to kyxt.nuaa.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:42: [+] ÓÑÁ´ÅÀĞĞ : http://oas.nuaa.edu.cn
2018-09-04 02:57:42: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='www.sdta.lss.gov.cn', port=80): Read timed out. (read timeout=5)
2018-09-04 02:57:42: [+] ÓÑÁ´ÅÀĞĞ : http://sdzb.lss.gov.cn
2018-09-04 02:57:43: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='jw.jiangnan.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000000010935588>, 'Connection to jw.jiangnan.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:43: [+] ÓÑÁ´ÅÀĞĞ : http://marxism.jiangnan.edu.cn
2018-09-04 02:57:43: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='ztc.xupt.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000000010FE3550>, 'Connection to ztc.xupt.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:43: [+] ÓÑÁ´ÅÀĞĞ : http://gfs.xupt.edu.cn
2018-09-04 02:57:43: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='jpkc.whu.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000000FC039E8>, 'Connection to jpkc.whu.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:43: [+] ÓÑÁ´ÅÀĞĞ : http://www.chinawater.net
2018-09-04 02:57:43: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='gis.haut.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000000010923978>, 'Connection to gis.haut.edu.cn timed out. (connect timeout=5)'))
2018-09-04 02:57:43: [+] ÓÑÁ´ÅÀĞĞ : http://xiaoyou.haut.edu.cn
2018-09-04 02:57:48: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='www.nutrition.ac.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000F1BDA90>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed',))
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='www.cc.jiangnan.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000010F2A3C8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://nelcf.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://jdxgc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://jdxgc.jiangnan.edu.cn
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : ('Connection aborted.', error(10054, ''))
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://de.gdufs.edu.cn
2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://www.moe.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://my.sdyu.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://gj.sdu.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://nic.sdyu.edu.cn
2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://www.moe.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://nnyn.njau.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://chem.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://www.nuaa.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://zs.njust.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://bw.sdyu.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://kyc.sdyu.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://xsgl.njucm.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://mail.njucm.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.sxhealth.gov.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://news.lzu.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://job.lzu.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://cyy.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://tuanwei.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://foodsci.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://cyy.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://foreign.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://slxh.wuxikx.org
'www.sxhealth.gov.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000EE5C630>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://foodsci.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://nac.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://foreign.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://tdwww.fmmu.edu.cn

2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://xyh.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://sport.jiangnan.edu.cn

2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://sdzb.lss.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://nac.jiangnan.edu.cn

2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://kjc.jit.edu.cn
.cn
cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://skc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://skc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://poffice.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://skc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://nac.jiangnan.edu.cn


2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://honorschool.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://otohns.fmmu.edu.cn
.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.cc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://poffice.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://cy.xjtu.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://sme.jiangnan.edu.cn
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='slxh.wuxikx.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000010B891D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://985ap.xjtu.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://kjc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://xyh.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://kyc.sdyu.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://nic.sdyu.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://xb.sdyu.edu.cn
2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://wlkc.xjpfkjpkc.com : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.chinaderma.com
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://yiyuan.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://www.jit.edu.cn
.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://kjc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://cos.jit.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://xiaoyou.haut.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://job.haut.edu.cn
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='www.cc.jiangnan.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000F800978>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://jdxgc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://nnyn.njau.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.moa.gov.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://zs.njust.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.people.com.cn
2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://www.jswst.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://derd.njust.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://job.lzu.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://poffice.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://jdxgc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://yz.lzu.edu.cn
du.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://wxms.jiangnan.edu.cn

2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://bwch.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://wxms.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://lib.jiangnan.edu.cn
2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://www.miitbeian.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://mail.njucm.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://foodsci.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.ec.js.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://yq.njucm.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://lib.jiangnan.edu.cn
2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://lxyz.people.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://marxism.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.sdgxjy.com
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://foodsci.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://xb.sdyu.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://nac.jiangnan.edu.cn
2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://www.people.com.cn : Å2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://sjc.sdyu.edu.cn
u.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://dangban.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.ygb.sdu.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://ltxc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://poffice.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://chem.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://nac.jiangnan.edu.cn
Ô­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.jscz.gov.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://duxue.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://www.ec.js.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://yyx.jit.edu.cn
2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://www.chinaderma.com : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.xjpfkjpkc.com
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://skc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://skc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://nelcf.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://honorschool.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://duxue.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://renwen.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://honorschool.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://zzb.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://poffice.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://nac.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://xyh.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://jsb.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://duxue.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://kjc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://marxism.jiangnan.edu.cn
cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://slxh.wuxikx.org.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://zzb.jiangnan.edu.cn
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : ('Connection aborted.', error(10054, ''))
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.watersite.com.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://rwb.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.cc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://kjc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://jsb.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://jdxgc.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://wxms.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://derd.njust.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://uldp.njust.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://yz.lzu.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://lib.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://poffice.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.hengshun.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://chem.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://bwch.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://gfs.xupt.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://lib.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://jw.jiangnan.edu.cn
018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://zhaosheng.xupt.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://wxms.jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://wxms.jiangnan.edu.cn
edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.cc
jiangnan.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://cicim-cu.jiangnan.edu.cn
2018-09-04 02:57:49: [-] ÍøÖ·ÅÅ³ı : http://sourcenext.co.jp.w3snoop.com : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://lookaside.fbsbx.com
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://cos.jit.edu.cn
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [+] ÍøÖ·Ğ´Èë : http://yq.njucm.edu.cn
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://zcc.njucm.edu.cn
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://skc.jiangnan.edu.cn
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.fjnufq.edu.cn
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://www.fjnufq.edu.cn
2018-09-04 02:57:49: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='www.sdgxjy.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000000010102EB8>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed',))
2018-09-04 02:57:49: [+] ÓÑÁ´ÅÀĞĞ : http://cy.ncss.org.cn
2018-09-04 02:57:50: [-] ÍøÖ·ÅÅ³ı : http://www.jscz.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:57:50: [+] ÓÑÁ´ÅÀĞĞ : http://www.most.gov.cn
2018-09-04 02:57:50: [+] ÍøÖ·Ğ´Èë : http://sjc.sdyu.edu.cn
2018-09-04 02:57:50: [+] ÓÑÁ´ÅÀĞĞ : http://jw.sdyu.edu.cn
2018-09-04 02:57:50: [+] ÓÑÁ´ÅÀĞĞ : http://nsi.jit.edu.cn
2018-09-04 02:57:50: [+] ÍøÖ·Ğ´Èë : http://duxue.jiangnan.edu.cn
2018-09-04 02:57:50: [+] ÓÑÁ´ÅÀĞĞ : http://renwen.jiangnan.edu.cn
2018-09-04 02:57:50: [+] ÍøÖ·Ğ´Èë : http://lib.jiangnan.edu.cn
2018-09-04 02:57:50: [+] ÓÑÁ´ÅÀĞĞ : http://sklf.jiangnan.edu.cn
2018-09-04 02:57:50: [+] ÍøÖ·Ğ´Èë : http://chem.jiangnan.edu.cn
2018-09-04 02:57:50: [+] ÓÑÁ´ÅÀĞĞ : http://dsh.jiangnan.edu.cn
2018-09-04 02:57:50: [+] ÍøÖ·Ğ´Èë : http://ltxc.jiangnan.edu.cn
2018-09-04 02:57:50: [+] ÓÑÁ´ÅÀĞĞ : http://cyy.jiangnan.edu.cn

2018-09-04 02:57:50: [+] ÓÑÁ´ÅÀĞĞ : http://renwen.jiangnan.edu.cn
2018-09-04 02:57:50: [+] ÓÑÁ´ÅÀĞĞ : http://www.rs.sdu.edu.cn
2018-09-04 02:57:51: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='www.watersite.com.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000C91FC50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:57:51: [+] ÓÑÁ´ÅÀĞĞ : http://www.chinawater.net.cn
2018-09-04 02:57:51: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='www.cc.jiangnan.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000F3F0FD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
